Date,Price,High,Low,Volume ETH,Volume USDT
2020-06-12,230.51,234.95,228.19,126056.32,29295445.98
2020-06-11,247.78,250.09,226.2,816456.89,195063781.28
2020-06-10,243.8,250.28,242,431285.62,105797248.25
2020-06-09,246.4,249.82,238,420327.17,102374504.57
2020-06-08,244.56,247.7,240.59,383116.55,93355224.97
2020-06-07,241.94,245.37,234.6,571102.56,137165732.65
2020-06-06,240.03,244.7,237.83,389423.08,93979350.81
2020-06-05,243.21,247.87,239.14,502547.41,122084004.52
2020-06-04,244.52,246.6,236,669369.34,162460397.63
2020-06-03,237.71,245,232.71,502928.13,120179301.18
2020-06-02,248.23,253.8,225,955520.92,230680327.31
2020-06-01,231.57,250.68,230.66,823816.7,198791911.85
2020-05-31,243.66,245.39,229.58,821608.69,194867426.29
2020-05-30,220.67,247,218.8,1019550.75,238678839.81
2020-05-29,220.21,224.79,217.57,603058.08,133220045.5
2020-05-28,208.29,220.5,204.67,643945.98,136361627.35
2020-05-27,200.89,208.44,200.76,494816.73,101445351.03
2020-05-26,204.15,205,196.9,477176.74,96116808.86
2020-05-25,199.9,205.67,198.01,469931.62,95411610.8
2020-05-24,206.6,210.55,199.5,673535.06,138917619.23
2020-05-23,207.36,211.2,204.55,478559.92,99461068.1
2020-05-22,198.74,209.19,196.24,787672.36,159972608.53
2020-05-21,209.98,211.64,191.71,1003923.43,203445710.96
2020-05-20,214.58,215.75,204.27,679532.61,143704806.18
2020-05-19,214.91,215.95,209.45,643702.99,136846948.56
2020-05-18,207,217.07,207,1064139.25,226789027.15
2020-05-17,200.45,209.85,199.68,708711.89,145341278.68
2020-05-16,194.86,203.5,193.21,669900.04,134060788.49
2020-05-15,203.29,204.08,191.66,904749.64,179634085.62
2020-05-14,199.58,206.02,195.67,1114700.25,224233786.13
2020-05-13,189.76,201,188.35,806143.01,156637596.37
2020-05-12,185.73,192.24,185.48,669755.8,126810812.17
2020-05-11,187.54,193.5,176,1093299.82,203391530.21
2020-05-10,210.07,210.18,179.59,1473226.05,278394290.76
2020-05-09,211.31,214.6,208.4,587871.98,124626471.43
2020-05-08,212,216.61,206.9,917908.19,194579529.43
2020-05-07,198.97,215.1,196.43,1305778.74,271197927.67
2020-05-06,205.29,210.77,197.71,862700.68,178157452.6
2020-05-05,206.48,211.68,201,640644.66,131906204.91
2020-05-04,209.86,210.65,194.88,1114249.33,225451167.66
2020-05-03,213.9,219.3,203.92,748383.91,158874887.08
2020-05-02,212.02,215.37,210.36,443494.67,94389501.52
2020-05-01,206.08,217.14,205.91,794913.96,168339123.36
2020-04-30,215.36,227.3,202,1749691.0,374893029.77
2020-04-29,196.24,218.77,196.22,1620422.72,338324593.64
2020-04-28,196.34,198.5,192.36,636829.89,124476041.89
2020-04-27,197.38,199.05,189.29,896627.37,174775637.93
2020-04-26,194.21,200,192.3,758525.82,148433709.78
2020-04-25,187.59,198.36,185.76,866478.05,167703202.43
2020-04-24,185.51,189.8,184.72,780904.21,146419748.08
2020-04-23,182.7,193.63,178.16,1457867.09,270862911.37
2020-04-22,170.74,184,169.78,988698.39,176079076.93
2020-04-21,170.2,174.7,168,906381.65,155292048.44
2020-04-20,180.03,186.46,166.7,1547821.53,273854539.8
2020-04-19,187.4,188.35,175.75,995759.58,181415813.5
2020-04-18,170.69,189.54,170.48,1127296.37,203132211.96
2020-04-17,172.29,174.96,168.31,723537.76,123553456.32
2020-04-16,152.73,174.79,148.33,1647207.6,273639160.07
2020-04-15,158.45,161.29,152,729119.67,114640840.12
2020-04-14,156.29,161.85,155.23,698030.65,110710086.1
2020-04-13,158.59,158.97,150,1042091.04,160423270.3
2020-04-12,158.33,164.78,155,809100.25,129919934.44
2020-04-11,157.81,161.37,153.91,621599.61,98275533.06
2020-04-10,169.52,170.1,152.11,1314841.36,209535613.32
2020-04-09,173.11,173.38,165.19,719837.24,122531131.96
2020-04-08,164.63,174.48,163.59,1023575.92,173916484.79
2020-04-07,171.32,176.22,162.22,1717962.83,292710722.58
2020-04-06,142.68,172,142.6,1636338.73,257097597.78
2020-04-05,144.1,145.58,140.68,414987.45,59383946.13
2020-04-04,141.31,146.28,138.88,553347.21,78771621.25
2020-04-03,141.28,146.72,137.26,797546.11,113731706.72
2020-04-02,135.69,149.76,135.01,1138977.66,159989506.6
2020-04-01,132.72,136.99,128.62,680922.25,90063924.23
2020-03-31,132.06,135,130.38,547669.28,72618183.48
2020-03-30,124.5,135.42,124.06,764831.93,100271145.86
2020-03-29,130.98,131.84,123.81,543997.0,69434202.21
2020-03-28,131.33,132.97,124.88,896032.11,115166651.97
2020-03-27,138.4,141.27,129.68,706948.55,96581886.88
2020-03-26,136.1,139.74,133.26,751060.63,101918769.67
2020-03-25,138.42,142.33,132.54,1034248.74,141795323.03
2020-03-24,135.92,143.36,132.2,1244377.16,171156363.69
2020-03-23,122.32,137.5,119.5,1436796.12,184851609.12
2020-03-22,132.66,137.13,121.1,1055699.87,135927941.08
2020-03-21,133.48,137.49,125.69,1231842.11,162468451.77
2020-03-20,136.3,152.55,116.74,2504057.64,345856006.75
2020-03-19,118.11,143.13,115.46,1801071.19,231626928.16
2020-03-18,115.67,118.5,109.86,1201850.31,137550912.09
2020-03-17,111.02,120.8,109.38,1295108.48,150800664.07
2020-03-16,123.78,124.33,101.1,2442064.14,270353891.81
2020-03-15,122.54,133.5,120.16,1312950.9,163436235.27
2020-03-14,134.06,134.68,120,1237674.89,159192895.55
2020-03-13,107.82,139.68,86,4663239.93,560710331.84
2020-03-12,194.61,195.55,101.2,3814533.14,548668262.23
2020-03-11,200.7,203.18,181.73,1079824.9,208232375.19
2020-03-10,202.81,206.2,195.54,1020260.11,205536190.19
2020-03-09,199.43,208.62,190,1661331.84,332570408.54
2020-03-08,237.23,237.23,195.5,1278973.54,277970187.87
2020-03-07,244.88,251.93,236,633748.9,154037325.61
2020-03-06,228.38,245.16,227.33,628147.33,148563741.83
2020-03-05,224.26,234.09,224.23,601479.88,138081898.29
2020-03-04,223.91,228.85,220.23,425050.28,95438066.19
2020-03-03,231.97,232.46,219.57,700272.18,158748020.41
2020-03-02,217.81,234.4,216.07,758006.68,171170074.64
2020-03-01,217.21,227.89,212.36,668295.93,146809248.97
2020-02-29,226.76,233,217,515094.86,116461305.18
2020-02-28,227.79,234.67,214.01,986146.67,220679444.17
2020-02-27,223.93,238.3,210,1183975.86,267102824.95
2020-02-26,246.67,250.32,215.66,1287623.05,299185710.87
2020-02-25,265.52,266.22,244.44,717649.65,182912035.33
2020-02-24,274.48,277.2,257.09,650950.16,173787880.48
2020-02-23,261.57,275.68,261.02,418526.36,112943424.67
2020-02-22,265.27,266.81,256,298377.68,77946875.29
2020-02-21,256.96,268.24,253.61,497792.41,130500107.35
2020-02-20,258.45,264.33,245.34,901509.83,231103274.96
2020-02-19,282.61,285,251.56,644589.32,175285824.01
2020-02-18,267.85,285.88,258,1031283.77,281171988.2
2020-02-17,258.85,268.77,242,1032013.25,260587600.27
2020-02-16,264.88,274,237.41,1018461.31,262816513.17
2020-02-15,285.15,288.41,261.86,790454.21,217055957.95
2020-02-14,268.32,287.15,260.28,684464.77,187263398.47
2020-02-13,265.74,277.69,256.08,1011436.81,270614332.61
2020-02-12,236.69,275.34,236.69,963171.41,247432452.61
2020-02-11,222.89,239.15,218.17,562753.63,128349395.73
2020-02-10,228.49,229.4,216.37,478273.92,106265469.63
2020-02-09,223.05,230.65,222.86,332848.82,75699299.01
2020-02-08,223.33,227.75,213.22,517161.42,115090436.92
2020-02-07,213.19,225,213.14,592719.22,130454546.41
2020-02-06,203.78,216.33,201.02,570248.32,119880246.47
2020-02-05,188.91,207.61,188.19,519658.37,102470847.31
2020-02-04,189.69,191.6,184.69,352075.61,66035866.04
2020-02-03,188.44,195.19,186.62,395877.93,75286672.7
2020-02-02,183.6,193.43,179.1,522974.41,98521833.63
2020-02-01,179.99,184.28,179.23,248894.59,45354872.22
2020-01-31,184.69,185.82,175.22,366753.1,66236792.63
2020-01-30,173.72,187,170.93,454700.34,81049668.32
2020-01-29,175.64,178.45,173.33,304544.32,53722594.27
2020-01-28,170.08,176.2,170.03,453091.09,78136436.79
2020-01-27,167.86,172.56,165.22,350541.8,59247889.07
2020-01-26,160.35,168.08,159.41,242715.51,39785481.66
2020-01-25,162.54,162.79,157.61,212430.29,33997912.86
2020-01-24,162.81,164.45,155.55,408675.73,65566039.99
2020-01-23,168.07,168.2,159.21,356492.08,58213358.74
2020-01-22,169.49,171.47,166.03,262360.65,44239157.68
2020-01-21,166.87,170.32,164.8,296061.29,49612520.37
2020-01-20,166.79,169.33,161.24,344308.07,57012558.32
2020-01-19,174.14,178.05,161.66,590460.39,99921047.78
2020-01-18,169.85,179.5,164.92,648779.16,112443904.23
2020-01-17,164.21,174.81,162.14,728816.58,123404702.28
2020-01-16,166.4,167.4,157.8,436728.25,70887785.19
2020-01-15,165.64,171.98,159.2,682321.61,112726563.22
2020-01-14,143.58,171.7,143.51,1039531.63,162672528.51
2020-01-13,146.54,147,142.27,199870.41,28720164.84
2020-01-12,142.38,146.6,141.76,222040.14,32030854.2
2020-01-11,144.84,148.05,142.09,353193.99,50961058.63
2020-01-10,137.74,145.17,135.32,391085.16,54795122.16
2020-01-09,140.72,141.5,135.3,351351.39,48576609.83
2020-01-08,142.8,147.77,137.03,544245.87,77457458.44
2020-01-07,144.15,145.31,138.76,428370.82,61099348.85
2020-01-06,135.37,144.41,134.86,390887.66,54988844.02
2020-01-05,134.2,138.19,134.19,245430.22,33409389.29
2020-01-04,134.35,135.85,132.5,177443.01,23726825.61
2020-01-03,127.19,135.14,125.88,393667.19,51594031.35
2020-01-02,130.77,130.78,126.38,205584.82,26439112.56
2020-01-01,129.16,133.05,128.68,139914.06,18315112.72
2019-12-31,131.59,133.68,128.17,253609.59,33199288.04
2019-12-30,134.36,136.24,130.3,310948.96,41385306.38
2019-12-29,128.11,138.07,127.52,305028.93,40385912.31
2019-12-28,126.29,129.68,125.84,190522.36,24362386.14
2019-12-27,125.58,127.1,121.91,230480.93,28830200.9
2019-12-26,125.09,132.26,124.32,264761.45,33640422.58
2019-12-25,127.75,127.84,123.07,217072.14,27152035.96
2019-12-24,127.8,129.69,126.61,195568.05,25019412.52
2019-12-23,132.09,135.1,126,403444.63,53113907.43
2019-12-22,126.99,133.07,126.82,243709.39,31709681.4
2019-12-21,128.19,128.4,126.5,132720.05,16884321.51
2019-12-20,128.1,129.39,125.84,207985.43,26512592.56
2019-12-19,132.78,134,125.69,403979.3,51631958.77
2019-12-18,121.88,134.87,116.26,833851.78,104177536.78
2019-12-17,132.73,132.98,119.11,532872.03,67861133.0
2019-12-16,142.46,142.72,127.93,437497.77,59139271.74
2019-12-15,141.79,144.12,139.92,145016.98,20618644.83
2019-12-14,144.8,145.07,141.18,120631.41,17228895.74
2019-12-13,144.87,146,142.8,154820.14,22356480.7
2019-12-12,143.39,145.85,139.24,251411.47,35967896.26
2019-12-11,145.56,146.34,142.12,151158.71,21813150.33
2019-12-10,147.38,148.57,143.81,196037.39,28695511.49
2019-12-09,150.44,151.19,146.56,234892.89,35021302.17
2019-12-08,147.14,151.62,146.11,198798.49,29636206.41
2019-12-07,148.45,149.49,146.85,137623.89,20378153.13
2019-12-06,148.1,149.77,145.74,214043.49,31571079.16
2019-12-05,145.38,149.02,143.64,290195.84,42477649.02
2019-12-04,147.17,151.98,143.15,413893.63,60816459.89
2019-12-03,148.65,149.93,145.77,190321.22,28172113.95
2019-12-02,150.73,151.42,146.71,226368.37,33657545.76
2019-12-01,151.37,152.49,145.79,333805.18,49605475.6
2019-11-30,154.57,155.25,149.7,218242.2,33306015.62
2019-11-29,150.72,157.6,150.23,315232.94,48567578.38
2019-11-28,152.62,154.63,149.09,308095.64,46862761.54
2019-11-27,147.47,155.54,140.84,539755.24,79800282.92
2019-11-26,145.69,149.97,143.37,342000.93,50110636.19
2019-11-25,139.96,151.5,131.45,711134.93,100759034.77
2019-11-24,151.84,152.86,138.62,336632.03,49223900.92
2019-11-23,149.56,154.33,146.11,357594.29,53769734.85
2019-11-22,161.01,162.79,138,914039.56,138017241.52
2019-11-21,174.72,175.85,157.26,443493.41,73609842.18
2019-11-20,175.94,177.41,173.5,209156.3,36743385.21
2019-11-19,178.2,178.52,172.65,265307.87,46558860.83
2019-11-18,183.82,184.06,175.01,279081.64,50387496.8
2019-11-17,182.37,186.09,180,190857.89,35035505.71
2019-11-16,180,183.46,179.3,167665.99,30446498.61
2019-11-15,184.92,186.7,177.67,386654.39,70424985.1
2019-11-14,188.11,188.72,183.34,235062.8,43589930.86
2019-11-13,187.09,189.66,185.3,190888.69,35739562.15
2019-11-12,184.98,187.65,182.41,246483.11,45728031.54
2019-11-11,188.96,190.19,184.06,246368.68,46028172.19
2019-11-10,184.89,191.58,183.3,260963.45,49015886.33
2019-11-09,183.74,185.79,182.63,187106.31,34525992.08
2019-11-08,186.68,188.26,181.41,351666.53,64847399.15
2019-11-07,191.16,192.27,184.59,292788.86,
2019-11-06,188.68,195.09,187.72,328894.68,62734469.41
2019-11-05,185.71,192.51,182.22,371172.2,69563505.73
2019-11-04,181.54,188.64,180.36,310127.55,57308389.47
2019-11-03,182.91,184.7,178.95,225932.4,41044502.83
2019-11-02,182.85,186,181.53,173813.07,31827733.25
2019-11-01,182.18,184.5,177.02,317983.8,57639173.63
2019-10-31,183.13,185.27,177.66,394469.01,71703651.96
2019-10-30,190.46,191.71,179.28,512800.46,94898691.95
2019-10-29,181.72,192.74,181.26,506155.87,94569475.32
2019-10-28,183.75,189.48,180.35,556620.52,102226266.72
2019-10-27,179.49,188.7,176.22,689200.89,125882240.89
2019-10-26,181.5,197.74,173.8,1130585.89,207900555.36
2019-10-25,160.38,187.78,160.25,849292.14,147717399.8
2019-10-24,162.35,163.72,158.72,371110.87,59810574.76
2019-10-23,171.2,171.49,153.45,708189.51,114846484.88
2019-10-22,173.98,175.04,170.3,247181.29,42751256.73
2019-10-21,175.22,177.9,171.59,260666.49,45469222.59
2019-10-20,171.79,176.88,169.21,289260.18,49948123.83
2019-10-19,172.74,174.98,169.44,286263.23,49430471.72
2019-10-18,177.16,177.44,168.66,305440.58,52841260.94
2019-10-17,174.47,178.96,172.61,290449.49,51108292.0
2019-10-16,180.49,181.44,171.81,332405.5,58485276.52
2019-10-15,186.72,188.37,175.96,387050.59,70641015.86
2019-10-14,180.99,187.54,180.43,269170.77,49546842.29
2019-10-13,179.68,184.95,178.52,239199.0,43543242.64
2019-10-12,180.72,184.64,177.59,279788.67,50965734.81
2019-10-11,191.14,196.65,179.41,591383.47,110203826.55
2019-10-10,192.62,194.2,186.88,422547.23,80689331.12
2019-10-09,180.6,195.53,178.96,534724.89,100311424.07
2019-10-08,179.85,184.87,177,389765.25,70433567.67
2019-10-07,170.1,182.32,168.68,475093.57,83824351.25
2019-10-06,176.25,177.04,167.68,301841.03,51999909.55
2019-10-05,175.55,176.71,172.02,270609.34,47271313.39
2019-10-04,174.69,178.98,170.74,325127.03,56932366.85
2019-10-03,180.24,180.72,169.55,340721.86,59558818.25
2019-10-02,175.66,181.29,173.65,338868.8,59865827.63
2019-10-01,180.85,185.53,173.19,586545.58,105161166.9
2019-09-30,169.24,181.24,165.01,554168.15,95914938.64
2019-09-29,173.49,174.5,164.12,392597.9,66248760.77
2019-09-28,173.79,175.49,168,498053.68,86032077.29
2019-09-27,165.92,176.72,161.03,609465.32,102179168.13
2019-09-26,169.96,171.01,152.11,733245.19,120346284.73
2019-09-25,165.81,174.85,161.88,836755.71,140536612.73
2019-09-24,201.29,202.98,150.03,1363213.86,243379297.33
2019-09-23,211.2,211.68,198.65,370778.41,76480240.57
2019-09-22,215.05,215.61,206.1,429674.79,90355426.04
2019-09-21,218.03,221.5,213.2,401268.72,87031266.85
2019-09-20,220.24,221.54,212.05,419691.04,91139018.99
2019-09-19,210.21,223.94,202.3,798364.11,169765924.51
2019-09-18,207.84,217.27,207.66,513120.86,109185207.85
2019-09-17,197.22,215.13,195.74,679750.83,138537974.9
2019-09-16,189.03,199.44,188.3,528337.79,102062343.96
2019-09-15,188.13,190.45,185.76,280767.97,52838135.4
2019-09-14,180.95,188.79,179.75,267890.02,49301727.59
2019-09-13,180.72,181.38,177.54,256498.05,45962397.18
2019-09-12,178.28,182.38,176.62,197575.01,35351888.23
2019-09-11,179.81,182.8,173,266594.87,47528584.59
2019-09-10,180.54,184.36,177,230231.59,41596161.55
2019-09-09,181.19,185.38,176.01,261713.25,47173776.11
2019-09-08,177.62,184.18,176.13,275778.2,49842584.39
2019-09-07,169.08,180.8,168.3,241491.41,42124248.56
2019-09-06,173.75,177.87,165,296625.44,51273807.39
2019-09-05,174.72,176.19,168.1,221555.38,38312850.42
2019-09-04,178.75,180.14,173,274523.51,48560376.96
2019-09-03,178.05,183,174.09,310855.34,55583824.36
2019-09-02,170.74,181,170.02,282280.98,49273287.05
2019-09-01,171.57,173.42,167.61,183240.54,31281728.17
2019-08-31,168.5,174.98,165.63,187480.91,31707801.22
2019-08-30,169.01,170.77,165.55,228759.94,38554989.34
2019-08-29,173.03,173.5,163.61,281855.76,47581787.34
2019-08-28,187.24,188.25,166.48,310652.09,55302425.27
2019-08-27,188.67,189.49,184.75,151685.35,28352312.68
2019-08-26,186.54,193.7,186,239138.62,45398330.11
2019-08-25,190.6,192.4,182.8,161329.18,30335644.16
2019-08-24,194.02,194.09,185.63,160347.74,30376792.7
2019-08-23,190.35,196.19,188.16,184607.56,35496408.13
2019-08-22,187.45,195.14,182.8,235248.89,44470719.79
2019-08-21,196.6,197.2,179.53,272790.2,51147312.61
2019-08-20,202.28,202.75,194.45,182698.67,36108993.49
2019-08-19,194.33,203.59,192.7,227767.43,45335821.49
2019-08-18,185.59,197.91,183.35,167642.42,32170746.08
2019-08-17,184.88,187,181.83,133031.38,24536347.33
2019-08-16,188.03,188.39,178.04,266677.79,49099025.49
2019-08-15,187.1,189.95,181.23,227061.95,42159161.36
2019-08-14,209.3,209.9,183.49,303096.75,59313621.96
2019-08-13,211.41,214.3,204,160581.72,33540267.5
2019-08-12,216.42,216.81,209.75,118019.79,25084874.56
2019-08-11,206.48,216.94,206.14,181226.33,38340043.64
2019-08-10,210.53,215,202.6,238814.18,49672833.39
2019-08-09,221.39,221.79,207.3,222126.62,47305932.95
2019-08-08,226.1,228.5,215.51,227302.75,50605328.79
2019-08-07,226.28,231.25,220.95,266654.97,60324416.2
2019-08-06,233.54,239.15,223.03,321598.75,74057470.81
2019-08-05,221.79,236.25,221.79,293028.62,67519115.44
2019-08-04,222.14,223.34,216.9,129252.63,28434538.95
2019-08-03,217.61,224.51,216.62,173091.61,38402414.61
2019-08-02,216.84,222.18,214.31,197378.6,43048711.84
2019-08-01,218.42,219.39,210.54,178367.73,38245768.5
2019-07-31,209.58,218.79,209.2,199072.03,42667260.47
2019-07-30,210.89,214.36,204.4,213617.67,44727001.37
2019-07-29,211.62,215.83,206.59,215871.37,45520537.27
2019-07-28,207.3,213.52,198.24,206493.53,42875063.52
2019-07-27,218.81,223.3,203,249914.53,53195918.15
2019-07-26,219.14,220,212.71,146879.47,31820101.61
2019-07-25,216.31,225.12,215.23,268128.71,59309595.05
2019-07-24,212.48,218.28,202,312744.21,65437569.67
